input: (!var0 || var1 || var2) && (!var3 || var0 || !var4) && (!var1 || !var2 || !var3)
SAT
var0: false, var1: false, var2: false, var3: false, var4: false, true
var0: false, var1: false, var2: false, var3: false, var4: true, true
var0: false, var1: false, var2: false, var3: true, var4: false, true
var0: false, var1: false, var2: false, var3: true, var4: true, false
var0: false, var1: false, var2: true, var3: false, var4: false, true
var0: false, var1: false, var2: true, var3: false, var4: true, true
var0: false, var1: false, var2: true, var3: true, var4: false, true
var0: false, var1: false, var2: true, var3: true, var4: true, false
var0: false, var1: true, var2: false, var3: false, var4: false, true
var0: false, var1: true, var2: false, var3: false, var4: true, true
var0: false, var1: true, var2: false, var3: true, var4: false, true
var0: false, var1: true, var2: false, var3: true, var4: true, false
var0: false, var1: true, var2: true, var3: false, var4: false, true
var0: false, var1: true, var2: true, var3: false, var4: true, true
var0: false, var1: true, var2: true, var3: true, var4: false, false
var0: false, var1: true, var2: true, var3: true, var4: true, false
var0: true, var1: false, var2: false, var3: false, var4: false, false
var0: true, var1: false, var2: false, var3: false, var4: true, false
var0: true, var1: false, var2: false, var3: true, var4: false, false
var0: true, var1: false, var2: false, var3: true, var4: true, false
var0: true, var1: false, var2: true, var3: false, var4: false, true
var0: true, var1: false, var2: true, var3: false, var4: true, true
var0: true, var1: false, var2: true, var3: true, var4: false, true
var0: true, var1: false, var2: true, var3: true, var4: true, true
var0: true, var1: true, var2: false, var3: false, var4: false, true
var0: true, var1: true, var2: false, var3: false, var4: true, true
var0: true, var1: true, var2: false, var3: true, var4: false, true
var0: true, var1: true, var2: false, var3: true, var4: true, true
var0: true, var1: true, var2: true, var3: false, var4: false, true
var0: true, var1: true, var2: true, var3: false, var4: true, true
var0: true, var1: true, var2: true, var3: true, var4: false, false
var0: true, var1: true, var2: true, var3: true, var4: true, false
